REAL USER STARTUP TIMELINE (ms from Login click)
============================================================
00000000  marker | LOGIN_CLICK
00000127  request | POST | /rateb-erp/public/login
00000385  response | HTTP 302 | /rateb-erp/public/login
00000385  request | GET | /rateb-erp/public/admin
00000483  response | HTTP 301 | /rateb-erp/public/admin
00000483  request | GET | /rateb-erp/public/admin/
00000911  response | HTTP 200 | /rateb-erp/public/admin/
00000916  navigate | /rateb-erp/public/admin/ | https://rateb.sa/rateb-erp/public/admin/
00001131  request | GET | /rateb-erp/public/admin/api/dashboard-charts
00001144  marker | AFTER_LOGIN_NAV | https://rateb.sa/rateb-erp/public/admin/
00001148  marker | LOGIN_RESULT
00001356  response | HTTP 200 | /rateb-erp/public/admin/api/dashboard-charts
00003006  marker | DASHBOARD_USABLE
00003011  marker | FINAL_STATE

TOP GAPS (>=200ms)
  +428ms  after request//rateb-erp/public/admin/ → response//rateb-erp/public/admin/
  +267ms  after poll_usable/ → poll_usable/
  +267ms  after poll_usable/ → poll_usable/
  +266ms  after poll_usable/ → poll_usable/
  +266ms  after poll_usable/ → poll_usable/
  +266ms  after poll_usable/ → poll_usable/
  +262ms  after response//rateb-erp/public/assets/js/charts.js?v=20260714-force-sw-v52 → poll_usable/
  +258ms  after request//rateb-erp/public/login → response//rateb-erp/public/login
